DelitoID,Delito,SubDelito
1,ASALTO,ARMA BLANCA
2,ASALTO,ARMA CONTUNDENTE
3,ASALTO,ARMA DE FUEGO
4,ASALTO,ARREBATO
5,ASALTO,CANDADO CHINO
6,ASALTO,DESCONOCIDO
7,ASALTO,GOLPES
8,ASALTO,INMOVILIZACION
9,ASALTO,INTIMIDACION VERBAL
10,ASALTO,OTRO O INDETERMINADO
11,ASALTO,USO DE GAS
12,HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA
13,HOMICIDIO,DISCUSION
14,HOMICIDIO,NO DETERMINADO
15,HOMICIDIO,FEMICIDIO
16,HOMICIDIO,OTRO O INDETERMINADO
17,HOMICIDIO,POR LA COMISION DE OTRO DELITO
18,HOMICIDIO,PROFESIONAL
19,HOMICIDIO,REPELIENDO ACTIVIDAD CRIMINAL
20,HOMICIDIO,VIOLENCIA DOMESTICA
21,HURTO,ARDID PREVIO/DISTRACCION
22,HURTO,CARTERISTA
23,HOMICIDIO,IDEOLOGICO
24,HURTO,CON LLAVE
25,HURTO,DESCONOCIDO
26,HURTO,GANZUA/VARILLA
27,HURTO,OTRO O INDETERMINADO
28,HURTO,POR CONFIANZA
29,HURTO,POR DESCUIDO
30,HURTO,PROGRESIVOS
31,HURTO,RETIRO DE CAJERO AUTOMATICO
32,HURTO,USO DE SOMNIFERO
33,ROBO,BOQUETE
34,ROBO,CORTA CANDADOS
35,ROBO,ESCALAMIENTO
36,ROBO,DESCONOCIDO
37,ROBO,FORZADURA
38,ROBO,OTRO O INDETERMINADO
39,ROBO,QUITAN CELOSIAS
40,ROBO,RUPTURA VENTANA
41,ROBO DE VEHICULO,ARDID PREVIO
42,ROBO DE VEHICULO,ASALTO
43,ROBO DE VEHICULO,COCHERAZO
44,ROBO DE VEHICULO,DESCUIDO
45,ROBO DE VEHICULO,DESCONOCIDO
46,ROBO DE VEHICULO,OTRO O INDETERMINADO
47,ROBO DE VEHICULO,POR CONFIANZA
48,TACHA DE VEHICULO,TACHA DE VEHICULO